,PLAYER_ID,GP,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,REB,AST,STL,BLK,PTS
146,76076,75,15.1,3.1,0.378,,,1.6,0.716,1.0,1.8,0.4,0.1,7.9
147,1895,59,8.2,0.9,0.309,0.3,0.286,0.4,0.667,0.7,1.5,0.2,0.0,2.6
148,76078,70,18.5,2.9,0.475,,,1.5,0.662,6.1,1.3,,,7.2
149,202970,54,20.2,2.6,0.536,0.0,0.0,0.7,0.619,4.9,1.4,1.0,0.9,5.9
150,201965,39,10.4,1.1,0.662,0.0,0.0,0.5,0.9,2.5,0.0,0.2,0.4,2.7
151,101235,41,16.3,2.4,0.445,0.8,0.43,1.5,0.782,2.3,0.7,0.5,0.2,7.1
152,203569,14,9.5,0.6,0.267,0.4,0.222,0.0,0.0,1.2,0.2,0.4,0.0,1.6
153,202337,24,5.7,0.6,0.273,0.1,0.188,0.1,0.333,1.3,0.3,0.1,0.1,1.5
154,76079,12,4.3,0.5,0.316,0.0,0.0,0.6,0.583,0.8,0.3,0.1,0.1,1.6
155,76080,34,,1.0,0.286,,,1.5,0.68,,0.7,,,3.5
156,1628407,53,13.5,1.4,0.375,0.2,0.256,0.4,0.8,2.3,0.7,0.3,0.0,3.3
157,76081,64,29.6,3.8,0.39,,,2.8,0.738,3.4,2.4,,,10.3
158,2053,35,7.4,0.5,0.262,0.0,0.0,0.4,0.464,1.6,0.3,0.3,0.5,1.3
159,76082,68,14.6,2.4,0.432,0.0,0.0,0.9,0.762,1.4,2.5,0.8,0.1,5.7
160,76084,1,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
161,76083,47,9.5,1.1,0.405,,,0.4,0.488,1.7,1.3,0.4,0.3,2.6
162,76085,67,10.8,1.8,0.45,0.0,0.0,1.0,0.673,2.9,0.4,0.3,0.8,4.7
163,1847,81,24.8,3.7,0.512,0.0,0.0,1.1,0.752,5.7,1.6,0.5,1.5,8.5
164,1753,27,9.2,1.3,0.395,0.0,0.2,0.3,0.692,2.0,0.5,0.3,0.1,2.9
